ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUMVAZENJASTR,VREMEFORMSTR,DATUGOVORSTR
2411000000007152,21390158505,563887594,34FAA773,4,2022-03-25T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"25.03.2022. 04:46:03",171014,25.03.2032.,"25.03.2022. 04:42:41",25.03.2022.
2411000000007153,21390158547,563887598,34EZZ398,4,2022-03-25T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"25.03.2022. 04:46:03",171014,25.03.2032.,"25.03.2022. 04:44:51",25.03.2022.
2411000000007154,21390158588,563887602,CT4604PH,4,2022-03-25T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"25.03.2022. 04:49:03",171014,25.03.2032.,"25.03.2022. 04:47:24",25.03.2022.
2411000000007155,21390158620,563887606,34FBE191,4,2022-03-25T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"25.03.2022. 23:28:21",171014,25.03.2032.,"25.03.2022. 23:26:49",25.03.2022.
