ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUMVAZENJASTR,VREMEFORMSTR,DATUGOVORSTR
2411000000007110,21390224216,563894165,34ENJ054,4,2022-03-20T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"20.03.2022. 01:48:09",171014,20.03.2032.,"20.03.2022. 01:46:55",20.03.2022.
2411000000007111,21390224257,563894169,CB0243TB,4,2022-03-20T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"20.03.2022. 02:09:09",171014,20.03.2032.,"20.03.2022. 02:06:23",20.03.2022.
2411000000007112,21390224299,563894173,38AEN480,4,2022-03-20T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"20.03.2022. 14:21:21",171014,20.03.2032.,"20.03.2022. 14:19:38",20.03.2022.
2411000000007113,21390158992,563887643,34EZZ011,4,2022-03-20T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"20.03.2022. 21:33:27",171014,20.03.2032.,"20.03.2022. 21:31:02",20.03.2022.
2411000000007114,21390158950,563887639,34FAA653,4,2022-03-20T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"20.03.2022. 21:36:28",171014,20.03.2032.,"20.03.2022. 21:34:39",20.03.2022.
2411000000007115,21390158018,563887545,34BNV681,4,2022-03-20T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"20.03.2022. 22:06:28",171014,20.03.2032.,"20.03.2022. 22:04:28",20.03.2022.
2411000000007116,21390158059,563887549,35FK640,4,2022-03-20T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"20.03.2022. 22:12:28",171014,20.03.2032.,"20.03.2022. 22:11:09",20.03.2022.
2411000000007117,21390158091,563887553,81ABS664,4,2022-03-20T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"20.03.2022. 22:36:28",171014,20.03.2032.,"20.03.2022. 22:35:29",20.03.2022.
2411000000007118,21390158133,563887557,81ABS586,4,2022-03-20T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"20.03.2022. 22:39:28",171014,20.03.2032.,"20.03.2022. 22:37:21",20.03.2022.
2412000000001184,21390362289,563907972,OG0507SS,4,2022-03-20T00:00:00.000+01:00,9412,Ugovor,3,Postpaid,"20.03.2022. 21:41:27",171014,20.03.2032.,"20.03.2022. 21:40:43",20.03.2022.
