ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUMVAZENJASTR,VREMEFORMSTR,DATUGOVORSTR
2411000000007084,21390224026,563894146,38AFA846,4,2022-03-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"17.03.2022. 01:46:02",171014,17.03.2032.,"17.03.2022. 01:43:33",17.03.2022.
2411000000007085,21390224968,563894240,22ABC055,4,2022-03-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"17.03.2022. 03:04:03",171014,17.03.2032.,"17.03.2022. 03:00:31",17.03.2022.
2411000000007086,21390224935,563894237,31D7499,4,2022-03-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"17.03.2022. 08:18:09",171014,17.03.2032.,"17.03.2022. 08:16:48",17.03.2022.
2411000000007087,21390224109,563894154,34FAR037,4,2022-03-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"17.03.2022. 08:39:10",171014,17.03.2032.,"17.03.2022. 08:37:36",17.03.2022.
2411000000007088,21390224067,563894150,31DJ109,4,2022-03-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"17.03.2022. 08:57:10",171014,17.03.2032.,"17.03.2022. 08:54:59",17.03.2022.
2411000000007089,21390224331,563894177,52KM714,4,2022-03-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"17.03.2022. 09:24:10",171014,17.03.2032.,"17.03.2022. 09:22:48",17.03.2022.
2411000000007090,21390224372,563894181,PGGM059,4,2022-03-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"17.03.2022. 16:06:16",171014,17.03.2032.,"17.03.2022. 16:05:47",17.03.2022.
2411000000007091,21390224414,563894185,NMND772,4,2022-03-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"17.03.2022. 22:45:22",171014,17.03.2032.,"17.03.2022. 22:43:48",17.03.2022.
2412000000001180,21390362222,563907966,34FAC565,4,2022-03-17T00:00:00.000+01:00,9412,Ugovor,3,Postpaid,"17.03.2022. 09:59:10",171014,17.03.2032.,"17.03.2022. 09:57:41",17.03.2022.
2412000000001181,21390362347,563907978,34FAC538,4,2022-03-17T00:00:00.000+01:00,9412,Ugovor,3,Postpaid,"17.03.2022. 10:02:11",171014,17.03.2032.,"17.03.2022. 10:01:07",17.03.2022.
