ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUGOVORSTR
2411000000006867,21390215065,563893250,34EYR150,4,2022-02-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,17.02.2022.,171014,17.02.2022.
2411000000006868,21390215982,563893342,14AB848,4,2022-02-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,17.02.2022.,171014,17.02.2022.
2411000000006869,21390215941,563893338,54ADM107,4,2022-02-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,17.02.2022.,171014,17.02.2022.
2411000000006870,21390215909,563893334,34DKS721,4,2022-02-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,17.02.2022.,171014,17.02.2022.
2411000000006871,21390215867,563893330,NZ392GF,4,2022-02-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,17.02.2022.,171014,17.02.2022.
2411000000006872,21390215826,563893326,34EYM453,4,2022-02-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,17.02.2022.,171014,17.02.2022.
2411000000006873,21390215784,563893322,34EYL582,4,2022-02-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,17.02.2022.,171014,17.02.2022.
2411000000006874,21390215743,563893318,34EYM543,4,2022-02-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,17.02.2022.,171014,17.02.2022.
2411000000006875,21390215701,563893314,34ETS746,4,2022-02-17T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,17.02.2022.,171014,17.02.2022.
2412000000001155,21390362552,563907999,LJ90ZGG,4,2022-02-17T00:00:00.000+01:00,9412,Ugovor,3,Postpaid,17.02.2022.,171014,17.02.2022.
2412000000001156,21390362453,563907989,ZD568IZ,4,2022-02-17T00:00:00.000+01:00,9412,Ugovor,3,Postpaid,17.02.2022.,171014,17.02.2022.
