KLIJENT_ID,KLIJENTIME,KLIJENTJIB,VREMEKNJIZSTR,VREMEKNJIZENJA,DTYPE,REGOZNIZLAZ,VREMEIZLAZ,RELACIJA,PRODMESTO,IZNOSDUGUJE,DATUMVALUTE,MEDIJUMPID,SERBRTAGA,VREMEULAZ,DATUM_KNJIZENJA,DATUM_VALUTE,VREME_NAPLATE,VREME_ULAZ
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,19.10.2021.,2021-10-19T06:54:08.033+02:00,NaplataPutarine,VA081DH,2021-10-19T06:54:02.000+02:00,"Batočina - Pojate",,720,2021-10-19T06:54:02.000+02:00,377830929,16330814258,2021-10-19T06:09:06.000+02:00,19.10.2021.,19.10.2021.,"19.10.2021 06:54:02","19.10.2021 06:09:06"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,19.10.2021.,2021-10-19T16:09:03.044+02:00,NaplataPutarine,VA081DH,2021-10-19T16:08:58.000+02:00,"Pojate - Batočina",,720,2021-10-19T16:08:58.000+02:00,377830929,16330814258,2021-10-19T15:22:50.000+02:00,19.10.2021.,19.10.2021.,"19.10.2021 16:08:58","19.10.2021 15:22:50"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,19.10.2021.,2021-10-19T07:07:46.834+02:00,NaplataPutarine,NI237FA,2021-10-19T07:07:42.000+02:00,"Niš istok - Niš jug",,50,2021-10-19T07:07:42.000+02:00,380912524,16450172925,2021-10-19T06:58:02.000+02:00,19.10.2021.,19.10.2021.,"19.10.2021 07:07:42","19.10.2021 06:58:02"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,19.10.2021.,2021-10-19T07:59:19.009+02:00,NaplataPutarine,NI237FA,2021-10-19T07:59:16.000+02:00,"Niš jug - Niš istok",,50,2021-10-19T07:59:16.000+02:00,380912524,16450172925,2021-10-19T07:51:18.000+02:00,19.10.2021.,19.10.2021.,"19.10.2021 07:59:16","19.10.2021 07:51:18"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,19.10.2021.,2021-10-19T10:54:13.192+02:00,NaplataPutarine,NI237FA,2021-10-19T10:54:08.000+02:00,"Merošina - Leskovac centar",,100,2021-10-19T10:54:08.000+02:00,380912524,16450172925,2021-10-19T10:41:08.000+02:00,19.10.2021.,19.10.2021.,"19.10.2021 10:54:08","19.10.2021 10:41:08"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,19.10.2021.,2021-10-19T12:32:03.661+02:00,NaplataPutarine,NI237FA,2021-10-19T12:31:58.000+02:00,"Brestovac - Merošina",,70,2021-10-19T12:31:58.000+02:00,380912524,16450172925,2021-10-19T12:22:02.000+02:00,19.10.2021.,19.10.2021.,"19.10.2021 12:31:58","19.10.2021 12:22:02"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,19.10.2021.,2021-10-19T15:43:40.339+02:00,NaplataPutarine,NI237FA,2021-10-19T15:43:36.000+02:00,"Merošina - Niš istok",,80,2021-10-19T15:43:36.000+02:00,380912524,16450172925,2021-10-19T15:33:14.000+02:00,19.10.2021.,19.10.2021.,"19.10.2021 15:43:36","19.10.2021 15:33:14"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,19.10.2021.,2021-10-19T07:39:53.163+02:00,NaplataPutarine,VA034GC,2021-10-19T07:39:52.000+02:00,"Novi Sad Jug - Inđija",,500,2021-10-19T07:39:52.000+02:00,407634800,18190008807,2021-10-19T07:12:52.000+02:00,19.10.2021.,19.10.2021.,"19.10.2021 07:39:52","19.10.2021 07:12:52"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,19.10.2021.,2021-10-19T12:23:04.289+02:00,NaplataPutarine,VA109AK,2021-10-19T12:23:02.000+02:00,"Preljina - Obrenovac",,1270,2021-10-19T12:23:02.000+02:00,408742406,18230599104,2021-10-19T11:06:44.000+02:00,19.10.2021.,19.10.2021.,"19.10.2021 12:23:02","19.10.2021 11:06:44"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,19.10.2021.,2021-10-19T15:17:43.895+02:00,NaplataPutarine,VA132VB,2021-10-19T15:17:38.000+02:00,"Batočina - Paraćin",,190,2021-10-19T15:17:38.000+02:00,412381980,18370294680,2021-10-19T14:52:56.000+02:00,19.10.2021.,19.10.2021.,"19.10.2021 15:17:38","19.10.2021 14:52:56"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,19.10.2021.,2021-10-19T09:37:17.263+02:00,NaplataPutarine,NI251EG,2021-10-19T09:37:14.000+02:00,"Niš istok - Merošina",,80,2021-10-19T09:37:14.000+02:00,412385155,18370326433,2021-10-19T09:26:34.000+02:00,19.10.2021.,19.10.2021.,"19.10.2021 09:37:14","19.10.2021 09:26:34"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,19.10.2021.,2021-10-19T10:32:19.364+02:00,NaplataPutarine,NI251EG,2021-10-19T10:32:16.000+02:00,"Merošina - Leskovac centar",,100,2021-10-19T10:32:16.000+02:00,412385155,18370326433,2021-10-19T10:19:32.000+02:00,19.10.2021.,19.10.2021.,"19.10.2021 10:32:16","19.10.2021 10:19:32"
