ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUMVAZENJASTR,VREMEFORMSTR,DATUGOVORSTR
2411000000007072,21390224505,563894194,38LM456,4,2022-03-15T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"15.03.2022. 10:21:26",171014,15.03.2032.,"15.03.2022. 10:17:43",15.03.2022.
2411000000007073,21390224463,563894190,38AAL480,4,2022-03-15T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"15.03.2022. 11:33:27",171014,15.03.2032.,"15.03.2022. 11:31:56",15.03.2022.
2411000000007074,21390224588,563894202,16ARJ602,4,2022-03-15T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"15.03.2022. 15:12:30",171014,15.03.2032.,"15.03.2022. 15:11:18",15.03.2022.
2411000000007075,21390224547,563894198,34CJC349,4,2022-03-15T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"15.03.2022. 23:42:37",171014,15.03.2032.,"15.03.2022. 23:40:30",15.03.2022.
2412000000001179,21390362248,563907968,ST8446AA,4,2022-03-15T00:00:00.000+01:00,9412,Ugovor,3,Postpaid,"15.03.2022. 08:23:24",171014,15.03.2032.,"15.03.2022. 08:19:17",15.03.2022.
