ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUGOVORSTR
2411000000006904,21390215537,563893297,81EA612,4,2022-02-22T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,22.02.2022.,171014,22.02.2022.
2411000000006905,21390215495,563893293,38HL114,4,2022-02-22T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,22.02.2022.,171014,22.02.2022.
2411000000006906,21390215453,563893289,35AUN123,4,2022-02-22T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,22.02.2022.,171014,22.02.2022.
2411000000006907,21390215412,563893285,42GR226,4,2022-02-22T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,22.02.2022.,171014,22.02.2022.
2411000000006908,21390215370,563893281,34CRZ589,4,2022-02-22T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,22.02.2022.,171014,22.02.2022.
2411000000006909,21390215339,563893277,BPBP181,4,2022-02-22T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,22.02.2022.,171014,22.02.2022.
2411000000006910,21390215297,563893273,42CEK02,4,2022-02-22T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,22.02.2022.,171014,22.02.2022.
2411000000006911,21390215255,563893269,34EYS752,4,2022-02-22T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,22.02.2022.,171014,22.02.2022.
2411000000006912,21390215214,563893265,42AIE624,4,2022-02-22T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,22.02.2022.,171014,22.02.2022.
2411000000006913,21390215172,563893261,31AIG854,4,2022-02-22T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,22.02.2022.,171014,22.02.2022.
