ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUMVAZENJASTR,VREMEFORMSTR,DATUGOVORSTR
2411000000007167,21390158158,563887559,42AIM650,4,2022-03-27T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"27.03.2022. 04:18:46",171014,27.03.2032.,"27.03.2022. 04:17:13",27.03.2022.
2411000000007168,21390158190,563887563,33AGH739,4,2022-03-27T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"27.03.2022. 11:12:53",171014,27.03.2032.,"27.03.2022. 11:11:03",27.03.2022.
2411000000007169,21390158794,563887623,35BBU589,4,2022-03-27T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"27.03.2022. 13:27:55",171014,27.03.2032.,"27.03.2022. 13:26:13",27.03.2022.
2411000000007170,21390158711,563887615,16LSP76,4,2022-03-27T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"27.03.2022. 20:55:02",171014,27.03.2032.,"27.03.2022. 20:53:50",27.03.2022.
2411000000007171,21390158752,563887619,35BPZ58,4,2022-03-27T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"27.03.2022. 21:19:02",171014,27.03.2032.,"27.03.2022. 21:16:58",27.03.2022.
2411000000007172,21390158638,563887607,34AET538,4,2022-03-27T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"27.03.2022. 21:22:02",171014,27.03.2032.,"27.03.2022. 21:19:18",27.03.2022.
2412000000001188,21390362966,563908040,B7764HH,4,2022-03-27T00:00:00.000+01:00,9412,Ugovor,3,Postpaid,"27.03.2022. 10:39:54",171014,27.03.2032.,"27.03.2022. 10:37:36",27.03.2022.
