ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUGOVORSTR
2411000000006988,21390233894,563895133,34ENC501,4,2022-03-06T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,06.03.2022.,171014,06.03.2022.
2411000000006989,21390233811,563895125,38ZT120,4,2022-03-06T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,06.03.2022.,171014,06.03.2022.
2411000000006990,21390233779,563895121,22ABV453,4,2022-03-06T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,06.03.2022.,171014,06.03.2022.
2411000000006991,21390233738,563895117,35AYL569,4,2022-03-06T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,06.03.2022.,171014,06.03.2022.
2411000000006992,21390233696,563895113,34ESF244,4,2022-03-06T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,06.03.2022.,171014,06.03.2022.
2411000000006993,21390233571,563895101,34ENC492,4,2022-03-06T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,06.03.2022.,171014,06.03.2022.
2411000000006994,21390233530,563895097,33AJE684,4,2022-03-06T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,06.03.2022.,171014,06.03.2022.
2411000000006995,21390233654,563895109,81AY394,4,2022-03-06T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,06.03.2022.,171014,06.03.2022.
2411000000006996,21390233613,563895105,34ETS846,4,2022-03-06T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,06.03.2022.,171014,06.03.2022.
2411000000006997,21390233415,563895085,34EZR856,4,2022-03-06T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,06.03.2022.,171014,06.03.2022.
