ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUMVAZENJASTR,VREMEFORMSTR,DATUGOVORSTR
2411000000007056,21390224158,563894159,34BAA546,4,2022-03-13T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"13.03.2022. 04:00:36",171014,13.03.2032.,"13.03.2022. 03:58:03",13.03.2022.
2411000000007057,21390224117,563894155,31HT338,4,2022-03-13T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"13.03.2022. 08:21:40",171014,13.03.2032.,"13.03.2022. 08:19:56",13.03.2022.
2411000000007058,21390224356,563894179,81ACB222,4,2022-03-13T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"13.03.2022. 08:59:41",171014,13.03.2032.,"13.03.2022. 08:58:07",13.03.2022.
2411000000007059,21390224315,563894175,34EHR533,4,2022-03-13T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"13.03.2022. 10:32:42",171014,13.03.2032.,"13.03.2022. 10:31:08",13.03.2022.
2411000000007060,21390224273,563894171,81ACE748,4,2022-03-13T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"13.03.2022. 18:02:50",171014,13.03.2032.,"13.03.2022. 18:00:32",13.03.2022.
2411000000007061,21390224471,563894191,54B9883,4,2022-03-13T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"13.03.2022. 18:05:50",171014,13.03.2032.,"13.03.2022. 18:03:18",13.03.2022.
2411000000007062,21390224430,563894187,34ENJ066,4,2022-03-13T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"13.03.2022. 18:08:50",171014,13.03.2032.,"13.03.2022. 18:05:48",13.03.2022.
2411000000007063,21390224398,563894183,22UK205,4,2022-03-13T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"13.03.2022. 18:23:50",171014,13.03.2032.,"13.03.2022. 18:21:16",13.03.2022.
2411000000007064,21390224828,563894226,22ABR129,4,2022-03-13T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"13.03.2022. 18:26:51",171014,13.03.2032.,"13.03.2022. 18:23:49",13.03.2022.
2411000000007065,21390224901,563894234,34ETS500,4,2022-03-13T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"13.03.2022. 23:21:54",171014,13.03.2032.,"13.03.2022. 23:19:16",13.03.2022.
2411000000007066,21390224786,563894222,81FS510,4,2022-03-13T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"13.03.2022. 23:48:55",171014,13.03.2032.,"13.03.2022. 23:45:25",13.03.2022.
2412000000001175,21390362446,563907988,34ENJ096,4,2022-03-13T00:00:00.000+01:00,9412,Ugovor,3,Postpaid,"13.03.2022. 18:16:49",171014,13.03.2032.,"13.03.2022. 18:14:45",13.03.2022.
