KLIJENT_ID,KLIJENTIME,KLIJENTJIB,VREMEKNJIZSTR,VREMEKNJIZENJA,DTYPE,REGOZNIZLAZ,VREMEIZLAZ,RELACIJA,PRODMESTO,IZNOSDUGUJE,DATUMVALUTE,MEDIJUMPID,SERBRTAGA,VREMEULAZ,DATUM_KNJIZENJA,DATUM_VALUTE,VREME_NAPLATE,VREME_ULAZ
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,17.12.2021.,2021-12-17T07:24:29.862+01:00,NaplataPutarine,NI237FA,2021-12-17T07:24:24.000+01:00,"Niš istok - Niš jug",,50,2021-12-17T07:24:24.000+01:00,380912524,16450172925,2021-12-17T07:15:40.000+01:00,17.12.2021.,17.12.2021.,"17.12.2021 07:24:24","17.12.2021 07:15:40"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,17.12.2021.,2021-12-17T14:53:00.945+01:00,NaplataPutarine,NI237FA,2021-12-17T14:52:56.000+01:00,"Merošina - Niš istok",,80,2021-12-17T14:52:56.000+01:00,380912524,16450172925,2021-12-17T14:42:34.000+01:00,17.12.2021.,17.12.2021.,"17.12.2021 14:52:56","17.12.2021 14:42:34"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,17.12.2021.,2021-12-17T07:08:50.467+01:00,NaplataPutarine,VA087DC,2021-12-17T07:08:46.000+01:00,"Batočina - Pojate",,240,2021-12-17T07:08:46.000+01:00,394592593,17330658737,2021-12-17T06:37:14.000+01:00,17.12.2021.,17.12.2021.,"17.12.2021 07:08:46","17.12.2021 06:37:14"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,17.12.2021.,2021-12-17T16:26:56.182+01:00,NaplataPutarine,VA087DC,2021-12-17T16:26:52.000+01:00,"Pojate - Batočina",,240,2021-12-17T16:26:52.000+01:00,394592593,17330658737,2021-12-17T15:53:50.000+01:00,17.12.2021.,17.12.2021.,"17.12.2021 16:26:52","17.12.2021 15:53:50"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,17.12.2021.,2021-12-17T08:24:49.724+01:00,NaplataPutarine,VA066YU,2021-12-17T08:24:48.000+01:00,"Beograd - Leskovac centar",,3050,2021-12-17T08:24:48.000+01:00,408736970,18230544746,2021-12-17T05:42:06.000+01:00,17.12.2021.,17.12.2021.,"17.12.2021 08:24:48","17.12.2021 05:42:06"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,17.12.2021.,2021-12-17T12:55:38.310+01:00,NaplataPutarine,VA066YU,2021-12-17T12:55:32.000+01:00,"Leskovac centar - Beograd",,3050,2021-12-17T12:55:32.000+01:00,408736970,18230544746,2021-12-17T09:53:38.000+01:00,17.12.2021.,17.12.2021.,"17.12.2021 12:55:32","17.12.2021 09:53:38"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,17.12.2021.,2021-12-17T06:37:07.336+01:00,NaplataPutarine,VA109AK,2021-12-17T06:37:02.000+01:00,"Ruma - Šimanovci",,450,2021-12-17T06:37:02.000+01:00,408742406,18230599104,2021-12-17T06:18:30.000+01:00,17.12.2021.,17.12.2021.,"17.12.2021 06:37:02","17.12.2021 06:18:30"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,17.12.2021.,2021-12-17T09:31:11.995+01:00,NaplataPutarine,VA109AK,2021-12-17T09:31:08.000+01:00,"Smederevo - Batočina",,650,2021-12-17T09:31:08.000+01:00,408742406,18230599104,2021-12-17T08:54:44.000+01:00,17.12.2021.,17.12.2021.,"17.12.2021 09:31:08","17.12.2021 08:54:44"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,17.12.2021.,2021-12-17T13:27:09.947+01:00,NaplataPutarine,VA109AK,2021-12-17T13:27:04.000+01:00,"Preljina - Ub",,950,2021-12-17T13:27:04.000+01:00,408742406,18230599104,2021-12-17T12:34:24.000+01:00,17.12.2021.,17.12.2021.,"17.12.2021 13:27:04","17.12.2021 12:34:24"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,17.12.2021.,2021-12-17T15:50:58.939+01:00,NaplataPutarine,NI251EG,2021-12-17T15:50:52.000+01:00,"Šid - Ruma",,290,2021-12-17T15:50:52.000+01:00,412385155,18370326433,2021-12-17T15:25:44.000+01:00,17.12.2021.,17.12.2021.,"17.12.2021 15:50:52","17.12.2021 15:25:44"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,17.12.2021.,2021-12-17T16:26:31.369+01:00,NaplataPutarine,NI251EG,2021-12-17T16:26:28.000+01:00,"Ruma - Šimanovci",,150,2021-12-17T16:26:28.000+01:00,412385155,18370326433,2021-12-17T16:12:32.000+01:00,17.12.2021.,17.12.2021.,"17.12.2021 16:26:28","17.12.2021 16:12:32"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,17.12.2021.,2021-12-17T20:26:28.352+01:00,NaplataPutarine,NI251EG,2021-12-17T20:26:26.000+01:00,"Beograd - Niš istok",,920,2021-12-17T20:26:26.000+01:00,412385155,18370326433,2021-12-17T17:59:50.000+01:00,17.12.2021.,17.12.2021.,"17.12.2021 20:26:26","17.12.2021 17:59:50"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,17.12.2021.,2021-12-17T14:19:07.019+01:00,NaplataPutarine,34YN373,2021-12-17T14:19:00.000+01:00,"Morović - Šimanovci",,2300,2021-12-17T14:19:00.000+01:00,424729587,19200563070,2021-12-17T13:25:32.000+01:00,17.12.2021.,17.12.2021.,"17.12.2021 14:19:00","17.12.2021 13:25:32"
