ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUGOVORSTR
2410000000000207,20300542212,544789453,NKCP849,4,2022-03-02T00:00:00.000+01:00,9410,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2410000000000208,20300542170,544789449,NKCN412,4,2022-03-02T00:00:00.000+01:00,9410,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2410000000000209,20300542147,544789446,NKBN091,4,2022-03-02T00:00:00.000+01:00,9410,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2410000000000210,20300542139,544789445,NKCJ022,4,2022-03-02T00:00:00.000+01:00,9410,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2411000000006955,21390233274,563895071,42AHG838,4,2022-03-02T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2411000000006956,21390233233,563895067,42AHS187,4,2022-03-02T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2411000000006957,21390233191,563895063,42CEK06,4,2022-03-02T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2411000000006958,21390233159,563895059,42CBK76,4,2022-03-02T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2411000000006959,21390233118,563895055,14EY353,4,2022-03-02T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2411000000006960,21390233076,563895051,81ABD106,4,2022-03-02T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2411000000006961,21390233035,563895047,06JUN16,4,2022-03-02T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2411000000006962,21390233977,563895141,06JSV16,4,2022-03-02T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2411000000006963,21390234009,563895144,34EYM061,4,2022-03-02T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2411000000006964,21390233910,563895135,BPBL538,4,2022-03-02T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2411000000006965,21390233852,563895129,34ENJ053,4,2022-03-02T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2411000000006966,21390233829,563895126,33AJA915,4,2022-03-02T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2411000000006967,21390233787,563895122,34ESF441,4,2022-03-02T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2412000000001168,21390362370,563907981,E0563HB,4,2022-03-02T00:00:00.000+01:00,9412,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
2412000000001169,21390362487,563907992,E0536MK,4,2022-03-02T00:00:00.000+01:00,9412,Ugovor,3,Postpaid,02.03.2022.,171014,02.03.2022.
