KLIJENT_ID,KLIJENTIME,KLIJENTJIB,VREMEKNJIZSTR,VREMEKNJIZENJA,DTYPE,REGOZNIZLAZ,VREMEIZLAZ,RELACIJA,PRODMESTO,IZNOSDUGUJE,DATUMVALUTE,MEDIJUMPID,SERBRTAGA,VREMEULAZ,DATUM_KNJIZENJA,DATUM_VALUTE,VREME_NAPLATE,VREME_ULAZ
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,20.12.2021.,2021-12-20T09:17:29.038+01:00,NaplataPutarine,VA083PD,2021-12-20T09:17:26.000+01:00,"Batočina - Pojate",,720,2021-12-20T09:17:26.000+01:00,364128967,15450109515,2021-12-20T08:37:16.000+01:00,20.12.2021.,20.12.2021.,"20.12.2021 09:17:26","20.12.2021 08:37:16"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,20.12.2021.,2021-12-20T14:03:33.034+01:00,NaplataPutarine,VA083PD,2021-12-20T14:03:28.000+01:00,"Pojate - Batočina",,720,2021-12-20T14:03:28.000+01:00,364128967,15450109515,2021-12-20T13:18:40.000+01:00,20.12.2021.,20.12.2021.,"20.12.2021 14:03:28","20.12.2021 13:18:40"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,20.12.2021.,2021-12-20T08:46:06.328+01:00,NaplataPutarine,VA081DH,2021-12-20T08:46:00.000+01:00,"Batočina - Pojate",,720,2021-12-20T08:46:00.000+01:00,377830929,16330814258,2021-12-20T08:03:50.000+01:00,20.12.2021.,20.12.2021.,"20.12.2021 08:46:00","20.12.2021 08:03:50"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,20.12.2021.,2021-12-20T14:10:01.663+01:00,NaplataPutarine,VA081DH,2021-12-20T14:09:54.000+01:00,"Pojate - Batočina",,720,2021-12-20T14:09:54.000+01:00,377830929,16330814258,2021-12-20T13:24:02.000+01:00,20.12.2021.,20.12.2021.,"20.12.2021 14:09:54","20.12.2021 13:24:02"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,20.12.2021.,2021-12-20T07:10:37.050+01:00,NaplataPutarine,NI237FA,2021-12-20T07:10:32.000+01:00,"Niš istok - Niš jug",,50,2021-12-20T07:10:32.000+01:00,380912524,16450172925,2021-12-20T07:01:30.000+01:00,20.12.2021.,20.12.2021.,"20.12.2021 07:10:32","20.12.2021 07:01:30"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,20.12.2021.,2021-12-20T14:43:06.554+01:00,NaplataPutarine,NI237FA,2021-12-20T14:43:00.000+01:00,"Niš jug - Niš istok",,50,2021-12-20T14:43:00.000+01:00,380912524,16450172925,2021-12-20T14:35:14.000+01:00,20.12.2021.,20.12.2021.,"20.12.2021 14:43:00","20.12.2021 14:35:14"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,20.12.2021.,2021-12-20T07:09:51.256+01:00,NaplataPutarine,VA087DC,2021-12-20T07:09:46.000+01:00,"Batočina - Pojate",,240,2021-12-20T07:09:46.000+01:00,394592593,17330658737,2021-12-20T06:37:16.000+01:00,20.12.2021.,20.12.2021.,"20.12.2021 07:09:46","20.12.2021 06:37:16"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,20.12.2021.,2021-12-20T16:39:52.639+01:00,NaplataPutarine,VA087DC,2021-12-20T16:39:48.000+01:00,"Pojate - Batočina",,240,2021-12-20T16:39:48.000+01:00,394592593,17330658737,2021-12-20T16:07:46.000+01:00,20.12.2021.,20.12.2021.,"20.12.2021 16:39:48","20.12.2021 16:07:46"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,20.12.2021.,2021-12-20T11:36:20.016+01:00,NaplataPutarine,VA066YU,2021-12-20T11:36:14.000+01:00,"Lajkovac - Preljina",,790,2021-12-20T11:36:14.000+01:00,408736970,18230544746,2021-12-20T10:50:34.000+01:00,20.12.2021.,20.12.2021.,"20.12.2021 11:36:14","20.12.2021 10:50:34"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,20.12.2021.,2021-12-20T13:11:07.889+01:00,NaplataPutarine,VA066YU,2021-12-20T13:11:04.000+01:00,"Batočina - Jagodina",,270,2021-12-20T13:11:04.000+01:00,408736970,18230544746,2021-12-20T12:55:26.000+01:00,20.12.2021.,20.12.2021.,"20.12.2021 13:11:04","20.12.2021 12:55:26"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,20.12.2021.,2021-12-20T17:23:15.133+01:00,NaplataPutarine,VA066YU,2021-12-20T17:23:08.000+01:00,"Jagodina - Leskovac centar",,1590,2021-12-20T17:23:08.000+01:00,408736970,18230544746,2021-12-20T15:53:56.000+01:00,20.12.2021.,20.12.2021.,"20.12.2021 17:23:08","20.12.2021 15:53:56"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,20.12.2021.,2021-12-20T10:46:08.302+01:00,NaplataPutarine,VA109AK,2021-12-20T10:46:06.000+01:00,"Novi Sad Jug - Stara Pazova",,720,2021-12-20T10:46:06.000+01:00,408742406,18230599104,2021-12-20T10:14:06.000+01:00,20.12.2021.,20.12.2021.,"20.12.2021 10:46:06","20.12.2021 10:14:06"
