KLIJENT_ID,KLIJENTIME,KLIJENTJIB,VREMEKNJIZSTR,VREMEKNJIZENJA,DTYPE,REGOZNIZLAZ,VREMEIZLAZ,RELACIJA,PRODMESTO,IZNOSDUGUJE,DATUMVALUTE,MEDIJUMPID,SERBRTAGA,VREMEULAZ,DATUM_KNJIZENJA,DATUM_VALUTE,VREME_NAPLATE,VREME_ULAZ
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,05.01.2022.,2022-01-05T09:19:03.028+01:00,NaplataPutarine,VA081DH,2022-01-05T09:18:58.000+01:00,"Batočina - Pojate",,720,2022-01-05T09:18:58.000+01:00,377830929,16330814258,2022-01-05T08:39:10.000+01:00,05.01.2022.,05.01.2022.,"05.01.2022 09:18:58","05.01.2022 08:39:10"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,05.01.2022.,2022-01-05T15:40:52.541+01:00,NaplataPutarine,VA081DH,2022-01-05T15:40:50.000+01:00,"Pojate - Batočina",,720,2022-01-05T15:40:50.000+01:00,377830929,16330814258,2022-01-05T14:55:18.000+01:00,05.01.2022.,05.01.2022.,"05.01.2022 15:40:50","05.01.2022 14:55:18"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,05.01.2022.,2022-01-05T09:19:08.586+01:00,NaplataPutarine,VA109XJ,2022-01-05T09:19:04.000+01:00,"Batočina - Pojate",,720,2022-01-05T09:19:04.000+01:00,377836506,16330870029,2022-01-05T08:39:20.000+01:00,05.01.2022.,05.01.2022.,"05.01.2022 09:19:04","05.01.2022 08:39:20"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,05.01.2022.,2022-01-05T15:40:46.640+01:00,NaplataPutarine,VA109XJ,2022-01-05T15:40:42.000+01:00,"Pojate - Batočina",,720,2022-01-05T15:40:42.000+01:00,377836506,16330870029,2022-01-05T14:55:08.000+01:00,05.01.2022.,05.01.2022.,"05.01.2022 15:40:42","05.01.2022 14:55:08"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,05.01.2022.,2022-01-05T00:04:45.726+01:00,NaplataPutarine,34SU0086,2022-01-05T00:04:40.000+01:00,"Dimitrovgrad - Smederevo",,6790,2022-01-05T00:04:40.000+01:00,425307825,19221102577,2022-01-04T20:23:44.000+01:00,05.01.2022.,05.01.2022.,"05.01.2022 00:04:40","04.01.2022 20:23:44"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,05.01.2022.,2022-01-05T02:31:16.602+01:00,NaplataPutarine,34SU0086,2022-01-05T02:31:12.000+01:00,"Šimanovci - Šid",,2580,2022-01-05T02:31:12.000+01:00,425307825,19221102577,2022-01-05T01:38:42.000+01:00,05.01.2022.,05.01.2022.,"05.01.2022 02:31:12","05.01.2022 01:38:42"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,05.01.2022.,2022-01-05T09:03:30.688+01:00,NaplataPutarine,A34J103,2022-01-05T09:03:28.000+01:00,"Šid - Šimanovci",,2580,2022-01-05T09:03:28.000+01:00,425310962,19221133945,2022-01-05T08:13:06.000+01:00,05.01.2022.,05.01.2022.,"05.01.2022 09:03:28","05.01.2022 08:13:06"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,05.01.2022.,2022-01-05T05:19:49.052+01:00,NaplataPutarine,PK0142BT,2022-01-05T05:19:44.000+01:00,"Dimitrovgrad - Beograd",,7860,2022-01-05T05:19:44.000+01:00,425311563,19221139959,2022-01-04T23:42:02.000+01:00,05.01.2022.,05.01.2022.,"05.01.2022 05:19:44","04.01.2022 23:42:02"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,05.01.2022.,2022-01-05T07:21:47.831+01:00,NaplataPutarine,PK0142BT,2022-01-05T07:21:42.000+01:00,"Šimanovci - Šid",,2580,2022-01-05T07:21:42.000+01:00,425311563,19221139959,2022-01-05T06:28:48.000+01:00,05.01.2022.,05.01.2022.,"05.01.2022 07:21:42","05.01.2022 06:28:48"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,05.01.2022.,2022-01-05T15:05:00.213+01:00,NaplataPutarine,81BG292,2022-01-05T15:04:56.000+01:00,"Dimitrovgrad - Mali Požarevac",,7390,2022-01-05T15:04:56.000+01:00,425311618,19221140502,2022-01-05T10:44:14.000+01:00,05.01.2022.,05.01.2022.,"05.01.2022 15:04:56","05.01.2022 10:44:14"
