ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUMVAZENJASTR,VREMEFORMSTR,DATUGOVORSTR
2411000000007045,21390224596,563894203,61SC540,4,2022-03-11T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"11.03.2022. 00:11:50",171014,11.03.2032.,"11.03.2022. 00:10:19",11.03.2022.
2411000000007046,21390224711,563894215,34EZZ481,4,2022-03-11T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"11.03.2022. 10:05:57",171014,11.03.2032.,"11.03.2022. 10:04:38",11.03.2022.
2411000000007047,21390224679,563894211,34CGY417,4,2022-03-11T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"11.03.2022. 13:12:00",171014,11.03.2032.,"11.03.2022. 13:08:17",11.03.2022.
2411000000007048,21390224513,563894195,81ACE782,4,2022-03-11T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,"11.03.2022. 15:42:02",171014,11.03.2032.,"11.03.2022. 15:41:16",11.03.2022.
