ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUGOVORSTR
2411000000006936,21390233126,563895056,42AHS206,4,2022-02-26T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,26.02.2022.,171014,26.02.2022.
2411000000006937,21390233563,563895100,42AGT782,4,2022-02-26T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,26.02.2022.,171014,26.02.2022.
2411000000006938,21390233167,563895060,55ABG805,4,2022-02-26T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,26.02.2022.,171014,26.02.2022.
2411000000006939,21390233209,563895064,42AKT596,4,2022-02-26T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,26.02.2022.,171014,26.02.2022.
2411000000006940,21390233241,563895068,35ATS398,4,2022-02-26T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,26.02.2022.,171014,26.02.2022.
2411000000006941,21390233837,563895127,35ATD221,4,2022-02-26T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,26.02.2022.,171014,26.02.2022.
2411000000006942,21390233795,563895123,34GJR63,4,2022-02-26T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,26.02.2022.,171014,26.02.2022.
2411000000006943,21390233753,563895119,33DDU95,4,2022-02-26T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,26.02.2022.,171014,26.02.2022.
