KLIJENT_ID,KLIJENTIME,KLIJENTJIB,VREMEKNJIZSTR,VREMEKNJIZENJA,DTYPE,REGOZNIZLAZ,VREMEIZLAZ,RELACIJA,PRODMESTO,IZNOSDUGUJE,DATUMVALUTE,MEDIJUMPID,SERBRTAGA,VREMEULAZ,DATUM_KNJIZENJA,DATUM_VALUTE,VREME_NAPLATE,VREME_ULAZ
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T10:24:36.447+01:00,NaplataPutarine,VA081DH,2022-01-26T10:24:32.000+01:00,"Batočina - Pojate",,720,2022-01-26T10:24:32.000+01:00,377830929,16330814258,2022-01-26T09:41:08.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 10:24:32","26.01.2022 09:41:08"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T16:11:02.219+01:00,NaplataPutarine,VA081DH,2022-01-26T16:11:00.000+01:00,"Pojate - Batočina",,720,2022-01-26T16:11:00.000+01:00,377830929,16330814258,2022-01-26T15:27:58.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 16:11:00","26.01.2022 15:27:58"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T07:21:24.275+01:00,NaplataPutarine,VA066YU,2022-01-26T07:21:20.000+01:00,"Batočina - Pojate",,720,2022-01-26T07:21:20.000+01:00,408736970,18230544746,2022-01-26T06:41:18.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 07:21:20","26.01.2022 06:41:18"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T12:09:11.755+01:00,NaplataPutarine,VA066YU,2022-01-26T12:09:06.000+01:00,"Pojate - Beograd",,1900,2022-01-26T12:09:06.000+01:00,408736970,18230544746,2022-01-26T10:20:20.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 12:09:06","26.01.2022 10:20:20"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T12:42:26.886+01:00,NaplataPutarine,VA109AK,2022-01-26T12:42:22.000+01:00,"Lajkovac - Preljina",,790,2022-01-26T12:42:22.000+01:00,408742406,18230599104,2022-01-26T11:52:50.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 12:42:22","26.01.2022 11:52:50"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T15:42:00.112+01:00,NaplataPutarine,BG1659ES,2022-01-26T15:41:56.000+01:00,"Preljina - Ljig",,180,2022-01-26T15:41:56.000+01:00,424729620,19200563401,2022-01-26T15:12:10.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 15:41:56","26.01.2022 15:12:10"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T13:22:27.646+01:00,NaplataPutarine,BG968UW,2022-01-26T13:22:22.000+01:00,"Stara Pazova - Subotica",,640,2022-01-26T13:22:22.000+01:00,424729636,19200563567,2022-01-26T12:20:08.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 13:22:22","26.01.2022 12:20:08"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T20:56:50.432+01:00,NaplataPutarine,BG968UW,2022-01-26T20:56:44.000+01:00,"Subotica - Stara Pazova",,640,2022-01-26T20:56:44.000+01:00,424729636,19200563567,2022-01-26T19:56:52.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 20:56:44","26.01.2022 19:56:52"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T18:26:59.153+01:00,NaplataPutarine,KRPR0006,2022-01-26T18:26:58.000+01:00,"Novi Sad Jug - Stara Pazova",,370,2022-01-26T18:26:58.000+01:00,424729644,19200563641,2022-01-26T18:02:00.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 18:26:58","26.01.2022 18:02:00"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T23:44:05.496+01:00,NaplataPutarine,KRPR0006,2022-01-26T23:44:02.000+01:00,"Beograd - Preševo",,2230,2022-01-26T23:44:02.000+01:00,424729644,19200563641,2022-01-26T19:13:44.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 23:44:02","26.01.2022 19:13:44"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T11:25:56.070+01:00,NaplataPutarine,07DDV56,2022-01-26T11:25:52.000+01:00,"Dimitrovgrad - Beograd",,7860,2022-01-26T11:25:52.000+01:00,425307772,19221102049,2022-01-26T06:47:20.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 11:25:52","26.01.2022 06:47:20"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T12:40:02.380+01:00,NaplataPutarine,07DDV56,2022-01-26T12:39:56.000+01:00,"Šimanovci - Ruma",,880,2022-01-26T12:39:56.000+01:00,425307772,19221102049,2022-01-26T12:10:38.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 12:39:56","26.01.2022 12:10:38"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T05:51:12.484+01:00,NaplataPutarine,J32A719,2022-01-26T05:51:10.000+01:00,"Subotica - Stara Pazova",,3810,2022-01-26T05:51:10.000+01:00,425307805,19221102379,2022-01-26T04:03:18.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 05:51:10","26.01.2022 04:03:18"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T11:18:51.094+01:00,NaplataPutarine,J32A719,2022-01-26T11:18:46.000+01:00,"Šimanovci - Sremska Mitrovica",,1250,2022-01-26T11:18:46.000+01:00,425307805,19221102379,2022-01-26T10:51:26.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 11:18:46","26.01.2022 10:51:26"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T03:55:17.879+01:00,NaplataPutarine,34SU0086,2022-01-26T03:55:14.000+01:00,"Beograd - Dimitrovgrad",,7860,2022-01-26T03:55:14.000+01:00,425307825,19221102577,2022-01-25T23:36:24.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 03:55:14","25.01.2022 23:36:24"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T15:02:55.255+01:00,NaplataPutarine,K84E846,2022-01-26T15:02:50.000+01:00,"Šimanovci - Adaševci",,2300,2022-01-26T15:02:50.000+01:00,425310958,19221133903,2022-01-26T13:57:52.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 15:02:50","26.01.2022 13:57:52"
171014,"JugoExsim d.o.o. Beograd-Novi Beograd",109465772,26.01.2022.,2022-01-26T16:44:03.442+01:00,NaplataPutarine,K84E846,2022-01-26T16:44:02.000+01:00,"Morović - Sremska Mitrovica",,1040,2022-01-26T16:44:02.000+01:00,425310958,19221133903,2022-01-26T16:18:22.000+01:00,26.01.2022.,26.01.2022.,"26.01.2022 16:44:02","26.01.2022 16:18:22"
