ID,SERBRTAG,IDTAG,REGOZNAKA,KATEGORIJA,DATUGOVORA,PRODMESTOID,DTYPE,TIPRACID,TIPRACUNA,VREMEKNJIZSTR,KLIJENTID,DATUGOVORSTR
2411000000006944,21390233472,563895091,T07O215,4,2022-02-27T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,27.02.2022.,171014,27.02.2022.
2411000000006945,21390233712,563895115,31HT385,4,2022-02-27T00:00:00.000+01:00,9411,Ugovor,3,Postpaid,27.02.2022.,171014,27.02.2022.
2412000000001163,21390362412,563907985,PA6366BT,4,2022-02-27T00:00:00.000+01:00,9412,Ugovor,3,Postpaid,27.02.2022.,171014,27.02.2022.
